multiple	N_n2 (cm-2)	N_X (cm-2)	mbar (g)	p_n2 (bar)	p_x (bar) 
1.0000000e-05	1.8832500e+25	3.4463475e+14	4.6516707e-23	8.5938139e-01	1.5726679e-11
1.0000000e-04	1.8832500e+25	3.4463475e+15	4.6516707e-23	8.5938139e-01	1.5726679e-10
1.0000000e-03	1.8832500e+25	3.4463475e+16	4.6516707e-23	8.5938139e-01	1.5726679e-09
1.0000000e-02	1.8832500e+25	3.4463475e+17	4.6516707e-23	8.5938139e-01	1.5726679e-08
1.0000000e-01	1.8832500e+25	3.4463475e+18	4.6516703e-23	8.5938133e-01	1.5726678e-07
1.0000000e+00	1.8832500e+25	3.4463475e+19	4.6516671e-23	8.5938072e-01	1.5726667e-06
1.0000000e+01	1.8832500e+25	3.4463475e+20	4.6516343e-23	8.5937467e-01	1.5726557e-05
1.0000000e+02	1.8832500e+25	3.4463475e+21	4.6513070e-23	8.5931420e-01	1.5725450e-04
1.0000000e+03	1.8832500e+25	3.4463475e+22	4.6480396e-23	8.5871056e-01	1.5714403e-03
1.0000000e+04	1.8832500e+25	3.4463475e+23	4.6159471e-23	8.5278157e-01	1.5605903e-02
1.0000000e+05	1.8832500e+25	3.4463475e+24	4.3441700e-23	8.0257161e-01	1.4687061e-01
