multiple	N_n2 (cm-2)	N_X (cm-2)	mbar (g)	p_n2 (bar)	p_x (bar) 
1.0000000e-05	1.8832500e+25	5.6643975e+14	4.6516707e-23	8.5938139e-01	2.5848283e-11
1.0000000e-04	1.8832500e+25	5.6643975e+15	4.6516707e-23	8.5938139e-01	2.5848283e-10
1.0000000e-03	1.8832500e+25	5.6643975e+16	4.6516707e-23	8.5938139e-01	2.5848283e-09
1.0000000e-02	1.8832500e+25	5.6643975e+17	4.6516707e-23	8.5938140e-01	2.5848283e-08
1.0000000e-01	1.8832500e+25	5.6643975e+18	4.6516709e-23	8.5938143e-01	2.5848284e-07
1.0000000e+00	1.8832500e+25	5.6643975e+19	4.6516727e-23	8.5938176e-01	2.5848294e-06
1.0000000e+01	1.8832500e+25	5.6643975e+20	4.6516906e-23	8.5938507e-01	2.5848393e-05
1.0000000e+02	1.8832500e+25	5.6643975e+21	4.6518697e-23	8.5941816e-01	2.5849388e-04
1.0000000e+03	1.8832500e+25	5.6643975e+22	4.6536556e-23	8.5974809e-01	2.5859312e-03
1.0000000e+04	1.8832500e+25	5.6643975e+23	4.6709976e-23	8.6295198e-01	2.5955678e-02
1.0000000e+05	1.8832500e+25	5.6643975e+24	4.8047193e-23	8.8765663e-01	2.6698739e-01
