multiple	N_n2 (cm-2)	N_X (cm-2)	mbar (g)	p_n2 (bar)	p_x (bar) 
1.0000000e-05	1.8832500e+25	7.0538175e+09	4.6516707e-23	8.5938139e-01	3.2188608e-16
1.0000000e-04	1.8832500e+25	7.0538175e+10	4.6516707e-23	8.5938139e-01	3.2188608e-15
1.0000000e-03	1.8832500e+25	7.0538175e+11	4.6516707e-23	8.5938139e-01	3.2188608e-14
1.0000000e-02	1.8832500e+25	7.0538175e+12	4.6516707e-23	8.5938139e-01	3.2188608e-13
1.0000000e-01	1.8832500e+25	7.0538175e+13	4.6516707e-23	8.5938139e-01	3.2188608e-12
1.0000000e+00	1.8832500e+25	7.0538175e+14	4.6516707e-23	8.5938139e-01	3.2188608e-11
1.0000000e+01	1.8832500e+25	7.0538175e+15	4.6516707e-23	8.5938139e-01	3.2188608e-10
1.0000000e+02	1.8832500e+25	7.0538175e+16	4.6516707e-23	8.5938140e-01	3.2188608e-09
1.0000000e+03	1.8832500e+25	7.0538175e+17	4.6516709e-23	8.5938143e-01	3.2188609e-08
1.0000000e+04	1.8832500e+25	7.0538175e+18	4.6516729e-23	8.5938181e-01	3.2188623e-07
1.0000000e+05	1.8832500e+25	7.0538175e+19	4.6516931e-23	8.5938554e-01	3.2188763e-06
1.0000000e+06	1.8832500e+25	7.0538175e+20	4.6518949e-23	8.5942282e-01	3.2190159e-05
1.0000000e+07	1.8832500e+25	7.0538175e+21	4.6539121e-23	8.5979549e-01	3.2204118e-04
